roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
1,10,Left-Thalamus-Proper,0,118,14,0,left,10.5213,-8.29844,-1.43616
2,11,Left-Caudate,122,186,220,0,left,14.1557,-35.7163,7.81321
3,12,Left-Putamen,236,13,176,0,left,25.8183,-29.415,-2.07575
4,13,Left-Pallidum,12,48,255,0,left,19.4323,-23.8373,-4.78631
5,17,Left-Hippocampus,220,216,20,0,left,24.8116,-7.56246,-20.4363
6,18,Left-Amygdala,103,255,255,0,left,22.8062,-26.6134,-21.4256
7,26,Left-Accumbens-area,255,165,0,0,left,10.4139,-42.2855,-7.06962
8,49,Right-Thalamus-Proper,0,118,14,0,right,-13.7691,-9.22256,-1.59194
9,50,Right-Caudate,122,186,220,0,right,-15.99,-36.5785,7.61626
10,51,Right-Putamen,236,13,176,0,right,-27.1519,-31.0879,-2.92287
11,52,Right-Pallidum,13,48,255,0,right,-21.621,-24.8988,-5.15766
12,53,Right-Hippocampus,220,216,20,0,right,-27.5082,-9.34504,-21.3084
13,54,Right-Amygdala,103,255,255,0,right,-23.9528,-27.9899,-21.8756
14,58,Right-Accumbens-area,255,165,0,0,right,-10.8535,-42.6333,-6.91248
15,101,,70,130,180,0,,6.07287,14.216,-29.5446
16,102,,245,245,245,0,,-11.285,13.2346,-29.8372
17,103,,205,62,78,0,,13.2208,18.8782,-33.1408
18,104,,120,18,134,0,,-17.1973,18.9719,-33.4177
19,105,,196,58,250,0,,22.9384,28.5338,-40.6492
20,106,,0,148,0,0,,-1.28677,37.9764,-39.08
21,107,,220,248,164,0,,-26.0786,27.7668,-40.6839
22,108,,230,148,34,0,,35.4043,34.2392,-49.9092
23,109,,12,48,255,0,,3.26596,44.7745,-45.4372
24,110,,204,182,142,0,,-36.5468,34.3773,-50.1189
25,111,,42,204,164,0,,24.6437,37.2989,-59.8851
26,112,,103,255,255,0,,-1.08355,39.5928,-48.5462
27,113,,80,196,98,0,,-24.0263,39.8648,-59.3385
28,114,,60,58,210,0,,25.6761,27.1575,-65.3476
29,115,,255,165,0,0,,-0.955315,34.0317,-47.8931
30,116,,0,255,127,0,,-27.1465,27.3646,-65.4994
31,117,,165,42,42,0,,23.2094,19.0762,-65.1299
32,118,,135,206,235,0,,-1.46257,30.8262,-52.7868
33,119,,160,32,240,0,,-24.5896,19.4246,-65.9018
34,120,,0,200,200,0,,17.106,12.8062,-64.432
35,121,,100,50,100,0,,-1.08141,26.8948,-55.186
36,122,,135,50,74,0,,-18.6038,11.9836,-65.0578
37,123,,122,135,50,0,,6.03574,15.5492,-58.8663
38,124,,51,50,135,0,,-1.40838,21.8683,-51.0234
39,125,,74,155,60,0,,-8.18273,15.2647,-59.7664
40,126,,120,62,43,0,,21.7228,1.47811,-53.7892
41,127,,74,155,60,0,,-1.92227,15.0787,-48.1699
42,128,,122,135,50,0,,-23.4492,1.66456,-54.5385
