roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
0,,Undefined,0,0,0,0,0,,,
1,,L_VosdeWael_Area_1,1,1,1,0,left,,,
2,,L_VosdeWael_Area_2,2,2,2,0,left,,,
3,,L_VosdeWael_Area_3,3,3,3,0,left,,,
4,,L_VosdeWael_Area_4,4,4,4,0,left,,,
5,,L_VosdeWael_Area_5,5,5,5,0,left,,,
6,,L_VosdeWael_Area_6,6,6,6,0,left,,,
7,,L_VosdeWael_Area_7,7,7,7,0,left,,,
8,,L_VosdeWael_Area_8,8,8,8,0,left,,,
9,,L_VosdeWael_Area_9,9,9,9,0,left,,,
10,,L_VosdeWael_Area_10,10,10,10,0,left,,,
11,,L_VosdeWael_Area_11,11,11,11,0,left,,,
12,,L_VosdeWael_Area_12,12,12,12,0,left,,,
13,,L_VosdeWael_Area_13,13,13,13,0,left,,,
14,,L_VosdeWael_Area_14,14,14,14,0,left,,,
15,,L_VosdeWael_Area_15,15,15,15,0,left,,,
16,,L_VosdeWael_Area_16,16,16,16,0,left,,,
17,,L_VosdeWael_Area_17,17,17,17,0,left,,,
18,,L_VosdeWael_Area_18,18,18,18,0,left,,,
19,,L_VosdeWael_Area_19,19,19,19,0,left,,,
20,,L_VosdeWael_Area_20,20,20,20,0,left,,,
21,,L_VosdeWael_Area_21,21,21,21,0,left,,,
22,,L_VosdeWael_Area_22,22,22,22,0,left,,,
23,,L_VosdeWael_Area_23,23,23,23,0,left,,,
24,,L_VosdeWael_Area_24,24,24,24,0,left,,,
25,,L_VosdeWael_Area_25,25,25,25,0,left,,,
26,,L_VosdeWael_Area_26,26,26,26,0,left,,,
27,,L_VosdeWael_Area_27,27,27,27,0,left,,,
28,,L_VosdeWael_Area_28,28,28,28,0,left,,,
29,,L_VosdeWael_Area_29,29,29,29,0,left,,,
30,,L_VosdeWael_Area_30,30,30,30,0,left,,,
31,,L_VosdeWael_Area_31,31,31,31,0,left,,,
32,,L_VosdeWael_Area_32,32,32,32,0,left,,,
33,,L_VosdeWael_Area_33,33,33,33,0,left,,,
34,,L_VosdeWael_Area_34,34,34,34,0,left,,,
35,,L_VosdeWael_Area_35,35,35,35,0,left,,,
36,,L_VosdeWael_Area_36,36,36,36,0,left,,,
37,,L_VosdeWael_Area_37,37,37,37,0,left,,,
38,,L_VosdeWael_Area_38,38,38,38,0,left,,,
39,,L_VosdeWael_Area_39,39,39,39,0,left,,,
40,,L_VosdeWael_Area_40,40,40,40,0,left,,,
41,,L_VosdeWael_Area_41,41,41,41,0,left,,,
42,,L_VosdeWael_Area_42,42,42,42,0,left,,,
43,,L_VosdeWael_Area_43,43,43,43,0,left,,,
44,,L_VosdeWael_Area_44,44,44,44,0,left,,,
45,,L_VosdeWael_Area_45,45,45,45,0,left,,,
46,,L_VosdeWael_Area_46,46,46,46,0,left,,,
47,,L_VosdeWael_Area_47,47,47,47,0,left,,,
48,,L_VosdeWael_Area_48,48,48,48,0,left,,,
49,,L_VosdeWael_Area_49,49,49,49,0,left,,,
50,,L_VosdeWael_Area_50,50,50,50,0,left,,,
51,,L_VosdeWael_Area_51,51,51,51,0,left,,,
52,,L_VosdeWael_Area_52,52,52,52,0,left,,,
53,,L_VosdeWael_Area_53,53,53,53,0,left,,,
54,,L_VosdeWael_Area_54,54,54,54,0,left,,,
55,,L_VosdeWael_Area_55,55,55,55,0,left,,,
56,,L_VosdeWael_Area_56,56,56,56,0,left,,,
57,,L_VosdeWael_Area_57,57,57,57,0,left,,,
58,,L_VosdeWael_Area_58,58,58,58,0,left,,,
59,,L_VosdeWael_Area_59,59,59,59,0,left,,,
60,,L_VosdeWael_Area_60,60,60,60,0,left,,,
61,,L_VosdeWael_Area_61,61,61,61,0,left,,,
62,,L_VosdeWael_Area_62,62,62,62,0,left,,,
63,,L_VosdeWael_Area_63,63,63,63,0,left,,,
64,,L_VosdeWael_Area_64,64,64,64,0,left,,,
65,,L_VosdeWael_Area_65,65,65,65,0,left,,,
66,,L_VosdeWael_Area_66,66,66,66,0,left,,,
67,,L_VosdeWael_Area_67,67,67,67,0,left,,,
68,,L_VosdeWael_Area_68,68,68,68,0,left,,,
69,,L_VosdeWael_Area_69,69,69,69,0,left,,,
70,,L_VosdeWael_Area_70,70,70,70,0,left,,,
71,,L_VosdeWael_Area_71,71,71,71,0,left,,,
72,,L_VosdeWael_Area_72,72,72,72,0,left,,,
73,,L_VosdeWael_Area_73,73,73,73,0,left,,,
74,,L_VosdeWael_Area_74,74,74,74,0,left,,,
75,,L_VosdeWael_Area_75,75,75,75,0,left,,,
76,,L_VosdeWael_Area_76,76,76,76,0,left,,,
77,,L_VosdeWael_Area_77,77,77,77,0,left,,,
78,,L_VosdeWael_Area_78,78,78,78,0,left,,,
79,,L_VosdeWael_Area_79,79,79,79,0,left,,,
80,,L_VosdeWael_Area_80,80,80,80,0,left,,,
81,,L_VosdeWael_Area_81,81,81,81,0,left,,,
82,,L_VosdeWael_Area_82,82,82,82,0,left,,,
83,,L_VosdeWael_Area_83,83,83,83,0,left,,,
84,,L_VosdeWael_Area_84,84,84,84,0,left,,,
85,,L_VosdeWael_Area_85,85,85,85,0,left,,,
86,,L_VosdeWael_Area_86,86,86,86,0,left,,,
87,,L_VosdeWael_Area_87,87,87,87,0,left,,,
88,,L_VosdeWael_Area_88,88,88,88,0,left,,,
89,,L_VosdeWael_Area_89,89,89,89,0,left,,,
90,,L_VosdeWael_Area_90,90,90,90,0,left,,,
91,,L_VosdeWael_Area_91,91,91,91,0,left,,,
92,,L_VosdeWael_Area_92,92,92,92,0,left,,,
93,,L_VosdeWael_Area_93,93,93,93,0,left,,,
94,,L_VosdeWael_Area_94,94,94,94,0,left,,,
95,,L_VosdeWael_Area_95,95,95,95,0,left,,,
96,,L_VosdeWael_Area_96,96,96,96,0,left,,,
97,,L_VosdeWael_Area_97,97,97,97,0,left,,,
98,,L_VosdeWael_Area_98,98,98,98,0,left,,,
99,,L_VosdeWael_Area_99,99,99,99,0,left,,,
100,,L_VosdeWael_Area_100,100,100,100,0,left,,,
101,,L_VosdeWael_Area_101,101,101,101,0,left,,,
102,,L_VosdeWael_Area_102,102,102,102,0,left,,,
103,,L_VosdeWael_Area_103,103,103,103,0,left,,,
104,,L_VosdeWael_Area_104,104,104,104,0,left,,,
105,,L_VosdeWael_Area_105,105,105,105,0,left,,,
106,,L_VosdeWael_Area_106,106,106,106,0,left,,,
107,,L_VosdeWael_Area_107,107,107,107,0,left,,,
108,,L_VosdeWael_Area_108,108,108,108,0,left,,,
109,,L_VosdeWael_Area_109,109,109,109,0,left,,,
110,,L_VosdeWael_Area_110,110,110,110,0,left,,,
111,,L_VosdeWael_Area_111,111,111,111,0,left,,,
